,age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week,education_cat,workclass_cat,marital-status_cat,occupation_cat,relationship_cat,race_cat,gender_cat,native-country_cat
0,25,226802.0,7,0,0,40,1,2,4,6,3,2,1,38
1,38,89814.0,9,0,0,50,11,2,2,4,0,4,1,38
2,28,336951.0,12,0,0,40,7,1,2,10,0,4,1,38
3,44,160323.0,10,7688,0,40,15,2,2,6,0,2,1,38
5,34,198693.0,6,0,0,30,0,2,4,7,1,4,1,38
7,63,104626.0,15,3103,0,32,14,4,2,9,0,4,1,38
8,24,369667.0,10,0,0,40,15,2,4,7,4,4,0,38
9,55,104996.0,4,0,0,10,5,2,2,2,0,4,1,38
10,65,184454.0,9,6418,0,40,11,2,2,6,0,4,1,38
11,36,212465.0,13,0,0,40,9,0,2,0,0,4,1,38
12,26,82091.0,9,0,0,39,11,2,4,0,1,4,0,38
14,48,279724.0,9,3103,0,48,11,2,2,6,0,4,1,38
15,43,346189.0,14,0,0,50,12,2,2,3,0,4,1,38
16,20,444554.0,10,0,0,25,15,5,4,7,3,4,1,38
17,43,128354.0,9,0,0,30,11,2,2,0,5,4,0,38
18,37,60548.0,9,0,0,20,11,2,6,6,4,4,0,38
20,34,107914.00000000001,13,0,0,47,9,2,2,12,0,4,1,38
21,34,238588.0,10,0,0,35,15,2,4,7,3,2,0,38
23,25,220931.0,13,0,0,43,9,2,4,9,1,4,1,28
24,25,205947.0,13,0,0,40,9,2,2,9,0,4,1,38
25,45,432824.0,9,7298,0,90,11,4,2,2,0,4,1,38
26,22,236427.00000000003,9,0,0,20,11,2,4,0,3,4,1,38
27,23,134446.0,9,0,0,54,11,2,5,6,4,2,1,38
28,54,99516.0,9,0,0,35,11,2,2,2,0,4,1,38
29,32,109282.0,10,0,0,60,15,4,4,9,1,4,1,38
30,46,106444.0,10,7688,0,38,15,5,2,3,0,2,1,38
31,56,186651.0,7,0,0,50,1,4,6,7,4,4,0,38
32,24,188274.0,13,0,0,50,9,4,4,11,1,4,1,38
33,23,258119.99999999997,10,0,0,40,15,1,2,10,0,4,1,38
34,26,43311.0,9,0,0,40,11,2,0,3,4,4,0,38
36,36,403681.00000000006,13,0,0,40,9,1,2,9,0,4,1,38
37,22,248445.99999999997,3,0,0,50,4,2,4,8,1,4,1,12
38,17,269430.0,6,0,0,40,0,2,4,6,1,4,1,38
39,20,257509.00000000003,9,0,0,40,11,2,4,2,3,4,1,38
40,65,136384.0,14,0,0,50,12,2,2,9,0,4,1,38
41,44,120277.0,11,0,0,45,8,3,2,11,0,4,1,38
42,36,465326.0,9,0,0,40,11,2,2,4,0,4,1,38
43,29,103634.0,7,0,0,40,1,2,2,7,0,4,1,38
44,20,138371.0,10,0,0,32,15,5,4,4,3,4,1,38
45,28,242831.99999999997,11,0,0,36,8,2,2,9,5,4,0,38
46,39,290208.0,4,0,0,40,5,2,2,2,0,4,1,25
47,54,186272.0,10,3908,0,50,15,2,2,13,0,4,1,38
48,52,201062.0,7,0,0,18,1,2,5,8,1,2,0,38
