,age,fnlwgt,educational-num,capital-gain,hours-per-week,education_cat,workclass_cat,marital-status_cat,occupation_cat,relationship_cat,race_cat,gender_cat,native-country_cat
0,63,166860.0,9,0,40,11,5,2,4,5,4,0,146
1,64,111745.0,9,0,40,11,1,2,10,0,4,1,146
2,54,151825.0,9,0,44,11,2,0,0,1,4,0,146
3,37,174690.0,9,0,21,11,2,4,6,3,4,1,146
4,35,197229.0,11,0,40,8,2,2,8,5,4,0,146
6,36,204560.0,8,0,40,2,2,4,6,4,4,0,146
7,18,152118.0,8,0,40,2,2,4,8,3,4,1,146
8,39,204560.0,9,0,25,11,2,4,6,1,4,0,146
9,53,136143.0,12,0,80,7,2,2,10,0,4,1,146
10,33,231166.0,11,0,36,8,2,2,8,5,4,0,146
11,60,167747.0,10,0,55,15,2,0,6,1,4,0,146
12,59,107924.0,9,0,40,11,2,2,4,5,4,0,146
13,52,151825.0,10,0,40,15,2,2,4,5,4,0,146
14,27,177210.0,9,0,40,11,2,4,10,3,4,1,146
15,29,272830.0,12,0,24,7,2,2,8,5,4,0,146
16,75,117200.0,14,0,40,12,2,0,8,1,4,0,146
17,30,176788.0,10,0,15,15,5,4,8,4,4,0,146
18,34,161781.0,13,0,40,9,5,4,4,1,4,1,146
19,35,142642.0,13,0,35,9,3,2,9,0,4,1,146
20,66,157133.0,13,1000,40,9,2,2,8,5,4,0,146
21,72,121557.0,9,0,40,11,2,4,10,4,4,1,146
22,55,165906.0,12,0,31,7,0,2,0,0,4,1,14
23,80,139947.0,14,0,20,12,4,2,8,0,4,1,4
24,23,167506.0,13,0,20,9,5,4,8,3,4,1,146
25,21,221018.0,10,0,15,15,4,4,6,3,4,0,146
26,17,146666.0,10,0,12,15,4,4,2,3,4,1,146
27,35,177836.0,10,0,5,15,4,2,7,5,4,0,33
28,60,123596.0,9,0,60,11,3,2,3,0,4,1,146
29,54,126666.0,9,0,40,11,2,2,7,0,4,1,146
30,80,122028.0,9,0,40,11,2,2,6,0,4,1,146
32,65,118034.0,13,0,40,9,2,0,8,1,4,0,146
33,52,124457.0,11,0,42,8,5,2,3,0,4,1,146
34,24,153960.0,9,0,35,11,2,4,10,3,4,1,146
35,53,126975.0,9,0,25,11,2,0,6,4,4,0,146
36,30,231166.0,13,0,60,9,2,4,6,4,4,0,146
37,30,183514.0,9,0,40,11,2,4,5,1,4,1,146
38,28,208869.0,10,0,45,15,2,2,2,0,4,1,146
39,77,139955.0,15,15000,40,14,3,3,9,1,4,1,146
40,38,149873.0,13,0,40,9,2,2,4,0,4,1,146
41,40,148771.0,10,0,40,15,2,4,8,4,4,0,146
42,18,137503.0,9,0,40,11,2,4,3,3,4,1,146
43,48,129907.99999999999,9,0,40,11,2,0,2,1,4,1,146
44,41,166651.0,9,0,40,11,2,4,2,1,4,1,146
45,71,99916.0,11,0,40,8,2,0,10,1,4,0,146
46,45,113806.0,13,0,30,9,4,4,9,1,4,0,146
48,58,108680.0,9,0,25,11,2,0,6,1,4,0,146
49,43,170959.0,10,0,40,15,1,2,10,5,4,0,146
50,22,153960.0,10,0,40,15,1,4,6,3,4,1,146
51,63,185888.0,13,0,40,9,4,2,4,0,4,1,146
52,46,113806.0,9,0,55,11,2,5,6,4,4,0,146
54,56,112720.0,9,0,40,11,2,4,7,4,4,0,146
55,64,107288.0,11,0,40,8,2,4,0,2,4,0,146
56,61,128191.0,9,0,40,11,2,2,3,0,4,1,146
