,income-90k-threshold
0,<=90k
1,<=90k
2,<=90k
3,<=90k
4,<=90k
6,<=90k
7,<=90k
8,<=90k
9,>90k
10,<=90k
11,<=90k
12,<=90k
13,<=90k
14,<=90k
15,<=90k
16,<=90k
17,<=90k
18,<=90k
19,<=90k
20,<=90k
21,<=90k
22,<=90k
23,<=90k
24,<=90k
25,<=90k
26,<=90k
27,<=90k
28,>90k
29,<=90k
30,<=90k
32,<=90k
33,<=90k
34,<=90k
35,<=90k
36,<=90k
37,<=90k
38,>90k
39,>90k
40,<=90k
41,<=90k
42,<=90k
43,<=90k
44,<=90k
45,<=90k
46,<=90k
48,<=90k
49,<=90k
50,<=90k
51,<=90k
52,<=90k
54,<=90k
55,<=90k
56,<=90k
57,<=90k
59,<=90k
60,<=90k
63,<=90k
65,<=90k
66,<=90k
67,<=90k
68,<=90k
69,<=90k
70,<=90k
71,<=90k
72,<=90k
73,<=90k
74,<=90k
75,<=90k
76,<=90k
77,<=90k
78,<=90k
79,<=90k
80,<=90k
81,<=90k
82,>90k
83,<=90k
84,<=90k
85,<=90k
86,>90k
87,<=90k
88,<=90k
89,<=90k
90,<=90k
91,<=90k
92,<=90k
93,<=90k
94,<=90k
95,<=90k
96,<=90k
97,<=90k
98,<=90k
99,<=90k
100,<=90k
101,<=90k
103,<=90k
104,<=90k
105,<=90k
106,>90k
107,<=90k
108,<=90k
109,<=90k
110,<=90k
111,<=90k
112,<=90k
113,<=90k
114,<=90k
115,>90k
118,<=90k
119,<=90k
120,<=90k
121,<=90k
122,<=90k
123,<=90k
125,>90k
126,<=90k
127,<=90k
128,<=90k
129,<=90k
130,<=90k
131,<=90k
132,>90k
133,>90k
136,<=90k
137,<=90k
138,<=90k
139,<=90k
140,<=90k
141,<=90k
142,<=90k
143,<=90k
144,<=90k
145,<=90k
146,<=90k
147,<=90k
148,<=90k
149,<=90k
150,<=90k
151,<=90k
152,<=90k
154,>90k
155,<=90k
156,<=90k
157,<=90k
158,<=90k
159,<=90k
160,<=90k
161,<=90k
162,<=90k
163,<=90k
164,<=90k
165,<=90k
166,<=90k
167,<=90k
168,<=90k
169,<=90k
170,>90k
171,<=90k
172,<=90k
173,<=90k
174,<=90k
175,<=90k
176,<=90k
177,<=90k
178,<=90k
179,<=90k
180,<=90k
181,<=90k
182,<=90k
183,<=90k
184,<=90k
185,<=90k
186,<=90k
187,<=90k
188,>90k
189,<=90k
190,<=90k
191,>90k
192,<=90k
193,<=90k
194,<=90k
195,<=90k
196,>90k
197,<=90k
198,<=90k
199,<=90k
200,>90k
201,<=90k
202,<=90k
203,>90k
204,<=90k
205,<=90k
207,<=90k
208,<=90k
209,>90k
210,<=90k
211,<=90k
212,<=90k
213,<=90k
214,<=90k
215,<=90k
216,<=90k
217,<=90k
218,<=90k
219,<=90k
220,<=90k
221,<=90k
222,<=90k
224,<=90k
225,<=90k
226,<=90k
227,<=90k
228,<=90k
229,<=90k
230,<=90k
231,>90k
232,>90k
233,<=90k
234,>90k
235,>90k
236,<=90k
237,<=90k
238,<=90k
239,<=90k
240,<=90k
241,<=90k
242,<=90k
243,<=90k
244,<=90k
245,<=90k
246,>90k
247,>90k
250,>90k
251,<=90k
252,<=90k
253,<=90k
254,<=90k
255,<=90k
256,>90k
257,<=90k
258,<=90k
259,<=90k
260,<=90k
261,<=90k
262,<=90k
263,>90k
264,>90k
265,>90k
266,<=90k
267,<=90k
268,<=90k
269,>90k
270,<=90k
272,<=90k
273,<=90k
274,<=90k
275,<=90k
276,>90k
277,>90k
278,<=90k
279,<=90k
281,<=90k
282,<=90k
283,<=90k
284,<=90k
285,>90k
286,<=90k
287,>90k
289,<=90k
290,>90k
291,<=90k
292,<=90k
293,>90k
294,>90k
295,<=90k
296,<=90k
297,<=90k
298,<=90k
299,<=90k
300,<=90k
301,<=90k
302,<=90k
303,<=90k
304,<=90k
305,<=90k
306,<=90k
307,<=90k
309,<=90k
310,>90k
311,<=90k
312,<=90k
313,<=90k
314,<=90k
315,<=90k
316,>90k
317,>90k
318,<=90k
319,<=90k
320,<=90k
321,<=90k
322,<=90k
323,>90k
324,>90k
325,>90k
326,>90k
327,<=90k
328,<=90k
329,<=90k
330,<=90k
331,>90k
332,<=90k
333,>90k
334,<=90k
335,<=90k
336,>90k
337,<=90k
338,<=90k
339,>90k
340,<=90k
341,<=90k
342,<=90k
343,<=90k
344,<=90k
345,>90k
346,>90k
347,>90k
348,<=90k
349,<=90k
350,<=90k
351,>90k
352,<=90k
353,<=90k
354,<=90k
355,>90k
356,<=90k
357,<=90k
358,<=90k
359,<=90k
360,<=90k
361,<=90k
362,<=90k
364,<=90k
365,<=90k
366,<=90k
368,<=90k
369,<=90k
370,<=90k
371,<=90k
372,<=90k
374,<=90k
375,>90k
376,<=90k
377,<=90k
378,>90k
379,<=90k
381,<=90k
383,<=90k
384,>90k
385,>90k
386,<=90k
387,<=90k
388,<=90k
389,<=90k
390,<=90k
391,<=90k
392,<=90k
393,>90k
395,<=90k
396,<=90k
397,>90k
398,<=90k
399,<=90k
400,<=90k
401,<=90k
403,<=90k
404,<=90k
405,<=90k
406,>90k
407,<=90k
408,<=90k
409,<=90k
410,<=90k
411,<=90k
412,<=90k
413,<=90k
414,<=90k
415,>90k
416,<=90k
417,<=90k
418,<=90k
419,<=90k
420,<=90k
421,<=90k
422,<=90k
423,<=90k
